,country_code,country_name,year,child_employment_rate,log_child_employment_rate,log_gdp_per_capita_ppp,agriculture_value_added_pct,primary_school_enrollment,life_expectancy,urban_population_pct,rural_electricity_access,child_population_pct,youth_unemployment_rate,log_private_consumption_per_capita,governance_index
52,DOM,Dominican Republic,2014,3.506202579023877,1.505454798616861,9.74065018671954,4.837803032647637,108.064552307129,73.145,77.67,93.6,29.5305305521215,13.343,8.43562201571607,0.08686038980525401
53,DOM,Dominican Republic,2020,0.203190837773347,0.18497705930192085,9.880546914550434,4.522528402378887,105.925239562988,72.636,82.54,100.0,27.6825804165948,14.766,8.586266655957516,0.4303916652200767
54,DOM,Dominican Republic,2021,0.2763212870267214,0.2439819455689176,10.001270082063405,4.215675902840547,96.8704605102539,71.757,83.213,94.8,27.4364069035797,16.874,8.655195046091057,0.783520140402483
55,DOM,Dominican Republic,2022,0.32653792200254717,0.2825724822025175,10.042725796111526,4.153719841887107,100.492286682129,74.211,83.848,94.5,27.1919594566107,12.852,8.698667372620454,0.8697019738263756
56,DOM,Dominican Republic,2023,0.23841713851697316,0.2138340629993061,10.055499783529452,4.294253039985247,94.7164535522461,73.72,84.446,98.2,26.9140017944156,11.559,8.71594896346924,0.9717045936197921
57,DOM,Dominican Republic,2024,0.30484407072685377,0.26608354760256975,10.095366133569241,4.453984481879723,,,85.011,,26.5786510625149,11.675,8.752063783639505,
58,DZA,Algeria,2013,3.1853362319620113,1.431587042879535,9.600975485679797,9.12007464194984,112.249488830566,74.809,69.576,97.8,28.0774960876092,25.459,7.482594911541769,0.16203903197907155
59,DZA,Algeria,2019,4.368716128249217,1.6805887976733374,9.629063798627875,11.479179885716384,107.775131225586,75.682,73.189,98.7,30.6392172353534,31.119,7.554523663738973,-0.19217546598630925
60,ECU,Ecuador,2013,2.329989312866557,1.2029690946378202,9.52443202457674,6.96320880489033,104.89217376709,75.832,63.125,95.4,30.0653486852687,8.332,8.207535525202863,-0.0002533482604313802
61,ECU,Ecuador,2014,1.7181662911782543,0.9999574953063964,9.551501542962072,7.404399670031854,105.968299865723,76.141,63.261,97.5,29.5684264877395,9.031,8.227953942838473,-0.21104117274829304
62,ECU,Ecuador,2015,2.8541052273128638,1.3491388730218472,9.53838938073929,8.020496297287968,101.185890197754,76.222,63.398,97.0,29.0480335787806,8.824,8.25354258956568,-0.15443688274069625
63,ECU,Ecuador,2016,4.215069388859197,1.6515523939939765,9.516906714667538,8.072125858949976,99.030403137207,76.094,63.534,96.8,28.5021025421871,10.349,8.178891361707134,0.06858947512231736
64,ECU,Ecuador,2017,4.716048150358363,1.7432776838177189,9.559598642786893,7.902220409515742,98.248161315918,76.22,63.67,97.8,27.9513711595371,8.465,8.22978031805708,0.08188794503052611
65,ECU,Ecuador,2018,5.639042940089215,1.8929678175710862,9.552830677797319,7.645059948058114,98.9310989379883,77.248,63.821,96.9,27.40143850747,7.956,8.233192039881283,0.14256442471128336
66,ECU,Ecuador,2019,6.530463887107215,2.0189566451078016,9.537590898444604,7.786764598590857,98.3505783081055,77.286,63.986,97.8,26.8591794998639,8.733,8.23738309754645,0.28681593381491255
67,ECU,Ecuador,2021,7.0270693551639045,2.082819499346809,9.51107029211562,8.079999832803184,98.2059173583984,72.746,64.361,100.0,25.9766482079736,9.225,8.211177017189815,0.44402740354745934
68,ECU,Ecuador,2022,6.221331296428953,1.9770393259940848,9.560126361274541,7.393039923554625,99.5941925048828,76.577,64.57,100.0,25.5167430556853,8.403,8.261458204825457,0.17850084841471714
69,ECU,Ecuador,2023,5.645410982182739,1.8939265385871773,9.571088340819596,7.995473633338035,97.3006973266602,77.392,64.792,95.5,25.0046899116094,7.782,8.293950533005198,-0.2047630647155666
70,ECU,Ecuador,2024,8.958836870281672,2.2984602846849795,9.542269383227815,9.476100950746408,,,65.029,,24.4558490395414,10.099,8.27239859544748,
71,EGY,"Egypt, Arab Republic of",2010,1.8448271847116633,1.0455023222224935,9.48265404067101,13.340759157964529,94.5771713256836,69.078,43.019,99.1,33.8874180811044,24.583,7.798460785814878,0.5176816505652757
72,EGY,"Egypt, Arab Republic of",2014,1.4302629362644144,0.8879994557228411,9.483215787146372,11.337708920187794,94.0423736572266,69.911,42.839,99.7,33.9580258125986,32.198,7.901599680126754,-0.11533116213167309
73,EGY,"Egypt, Arab Republic of",2023,2.6639056542242616,1.2985296970874207,9.72270805011826,10.600311164503614,90.3061828613281,71.633,43.1,100.0,32.4351191889426,19.073,8.096667933846955,0.4520720257226045
75,ETH,Ethiopia,2015,33.144445286938115,3.530599916474619,7.579890517692977,36.05697539057863,97.1190070122981,63.592,19.428,15.5,42.8518050625533,3.811,6.095893117059677,0.0872028603992514
76,ETH,Ethiopia,2021,13.81771729895673,2.69582357959387,7.859186527532514,37.57911375688627,102.679576994027,65.33,22.174,42.8,40.0647936913075,6.246,6.371870019912952,0.10135981698764636
77,FJI,Fiji,2021,31.147384553667184,3.470331096011042,9.27670819026943,15.276481055279742,110.814965251253,64.904,57.74,86.8,28.0081181528312,16.832,,2.3273820390637536
78,GAB,Gabon,2012,10.545245667175317,2.446273721677101,9.875674465041493,3.3536977767633367,,65.438,86.634,32.3,36.9636353447242,35.213,7.8164049691820585,-0.14747804370713594
79,GAB,Gabon,2021,8.118606544498872,2.2103170012391105,9.8268537672195,6.7698228099570406,99.9486457966936,67.072,90.423,26.8,36.8222492996657,38.295,7.734384103979302,-0.4136932285700003
80,GHA,Ghana,2018,17.839736000242105,2.935968256324035,8.73801598497658,18.13655031925207,97.3151168823242,64.138,56.06,68.3,37.8459029627483,6.099,7.160360619781581,1.0311604466413833
81,GHA,Ghana,2022,5.070179882116732,1.803388239247917,8.814249310898022,19.513638202715818,96.5331573486328,65.246,58.615,71.6,36.5291305189345,5.505,7.35293287056901,1.1397134300840959
82,GIN,Guinea,2016,19.50478731368364,3.020658386377824,8.039411790979624,17.589947436421056,94.3621520996094,58.49,35.46,6.7,43.0672623194012,6.784,6.5059019882743865,-1.0325590599785812
